classification_path,name,is_group,total_printed,table_column,printed_page,india_persons,india_males,india_females
A. Vernaculars of India,A. Vernaculars of India,1,1,5,472,349887527,180214643,169672884
A. Vernaculars of India > Austric Family,Austric Family,1,1,8,472,5342708,2675837,2666871
A. Vernaculars of India > Austric Family > Austronesian Sub-Family,Austronesian Sub-Family,1,0,,,6542,3307,3235
A. Vernaculars of India > Austric Family > Austronesian Sub-Family > Indonesian Branch,Indonesian Branch,1,0,,,6542,3307,3235
A. Vernaculars of India > Austric Family > Austronesian Sub-Family > Indonesian Branch > Malay Group,Malay Group,1,1,11,472,6542,3307,3235
A. Vernaculars of India > Austric Family > Austronesian Sub-Family > Indonesian Branch > Malay Group > Malay,Malay,0,1,14,473,4634,2397,2237
A. Vernaculars of India > Austric Family > Austronesian Sub-Family > Indonesian Branch > Malay Group > Salon,Salon,0,1,17,473,1908,910,998
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family,Austroasiatic Sub-Family,1,1,20,473,5336166,2672530,2663636
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Mon-Khmer Branch,Mon-Khmer Branch,1,1,23,473,726578,362253,364325
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Mon-Khmer Branch > Mon Group,Mon Group,1,0,,,305294,154058,151236
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Mon-Khmer Branch > Mon Group > Talaing,Talaing,0,1,26,473,305294,154058,151236
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Mon-Khmer Branch > Palaung-Wa Group,Palaung-Wa Group,1,1,29,474,177012,88963,88049
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Mon-Khmer Branch > Palaung-Wa Group > Wa,Wa,0,1,32,474,22142,11401,10741
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Mon-Khmer Branch > Palaung-Wa Group > Danaw,Danaw,0,1,35,474,1159,582,577
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Mon-Khmer Branch > Palaung-Wa Group > Khamuk,Khamuk,0,1,38,474,191,190,1
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Mon-Khmer Branch > Palaung-Wa Group > Yang (unspecified),Yang (unspecified),0,1,41,474,3151,1410,1741
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Mon-Khmer Branch > Palaung-Wa Group > Yanglam,Yanglam,0,1,44,474,10725,5485,5240
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Mon-Khmer Branch > Palaung-Wa Group > Palaung and Pale,Palaung and Pale,0,1,47,474,139644,69895,69749
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Mon-Khmer Branch > Khasi Group,Khasi Group,1,0,,,234387,114124,120263
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Mon-Khmer Branch > Khasi Group > Khasi,Khasi,0,1,50,474,234387,114124,120263
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Mon-Khmer Branch > Nicobar Group,Nicobar Group,1,0,,,9885,5108,4777
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Mon-Khmer Branch > Nicobar Group > Nicobarese,Nicobarese,0,1,53,474,9885,5108,4777
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Munda Branch,Munda Branch,1,1,56,474,4609588,2310277,2299311
"A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Munda Branch > Kherwari (Santali, Mundari, Ho, etc.)","Kherwari (Santali, Mundari, Ho, etc.)",0,1,59,475,4031970,2018143,2013827
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Munda Branch > Korku,Korku,0,1,62,475,169728,85213,84515
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Munda Branch > Kharia,Kharia,0,1,65,475,152018,78792,73226
A. Vernaculars of India > Austric Family > Austroasiatic Sub-Family > Munda Branch > Juang,Juang,0,1,68,475,14583,7066,7517
