volume,area_path,area,area_is_total,language_as_printed,lang_path,persons,males,females,vol1_entry,matched_by,mark,mark_note,scan_leaf,printed_page,district_map_unit
aden,,Aden,False,Kanarese,Group A. (Indian Languages),21,17,4,Kanarese,name,,,36,32,
aden,,Aden,False,Pashto,Group A. (Indian Languages),42,42,,Pashto,name,,,36,32,
aden,,Aden,False,Balochi,Group A. (Indian Languages),2,2,,Balochi,name,,,36,32,
aden,,Aden,False,Sindhi,Group A. (Indian Languages),4,3,1,Sindhi,name,,,36,32,
aden,,Aden,False,Marathi,Group A. (Indian Languages),203,105,98,Marathi,name,,,36,32,
aden,,Aden,False,Konkani,Group A. (Indian Languages),205,171,34,Konkani,name,,,36,32,
aden,,Aden,False,Western Hindi,Group A. (Indian Languages),4946,2893,2053,Western Hindi,name,,,36,32,
aden,,Aden,False,Punjabi,Group A. (Indian Languages),177,144,33,Panjabi,name,,,36,32,
aden,,Aden,False,Gujarati,Group A. (Indian Languages),2618,1702,916,Gujarati,name,,,36,32,
aden,,Aden,False,Tamil,Group A. (Indian Languages),18,14,4,Tamil,name,,,36,32,
aden,,Aden,False,Telugu,Group A. (Indian Languages),8,5,3,Telugu,name,,,36,32,
aden,,Aden,False,Bengali,Group A. (Indian Languages),356,354,2,Bengali,name,,,36,32,
aden,,Aden,False,Burmese,Group A. (Indian Languages),1,1,,Burmese,name,,,36,32,
aden,,Aden,False,Sanskrit,Group A. (Indian Languages),1,1,,Sanskrit,name,,,36,32,
aden,,Aden,False,Arabic,Group B. (Asiatic Languages),33483,21272,12211,Arabic,name,,,36,32,
aden,,Aden,False,Persian,Group B. (Asiatic Languages),50,33,17,Persian,name,,,36,32,
aden,,Aden,False,Hebrew,Group B. (Asiatic Languages),2671,1396,1275,Hebrew,name,,,36,32,
aden,,Aden,False,Armenian,Group B. (Asiatic Languages),1,1,,Armenian,name,,,36,32,
aden,,Aden,False,Singhalese,Group B. (Asiatic Languages),6,6,,Sinhalese,name,,,36,32,
aden,,Aden,False,Turkish,Group B. (Asiatic Languages),13,9,4,Turkish,name,,,36,32,
aden,,Aden,False,Japanese,Group B. (Asiatic Languages),72,71,1,Japanese,name,,,36,32,
aden,,Aden,False,Malayan,Group B. (Asiatic Languages),2,,2,,,,,36,32,
aden,,Aden,False,Chinese,Group B. (Asiatic Languages),32,27,5,Chinese Group,name,,,36,32,
aden,,Aden,False,English,Group C. (European Languages),1490,1184,306,English,name,,,36,32,
aden,,Aden,False,Greek (Romaic),Group C. (European Languages),83,55,28,Greek (Romaic.),name,,,36,32,
aden,,Aden,False,Italian,Group C. (European Languages),189,177,12,Italian,name,,,36,32,
aden,,Aden,False,French,Group C. (European Languages),14,5,9,French,name,,,36,32,
aden,,Aden,False,Spanish,Group C. (European Languages),39,19,20,Spanish,name,,,36,32,
aden,,Aden,False,Portuguese,Group C. (European Languages),229,169,60,C. European languages,group,,,36,32,
aden,,Aden,False,Dutch,Group C. (European Languages),12,7,5,Dutch,name,,,36,32,
aden,,Aden,False,Danish,Group C. (European Languages),2,,2,Danish,name,,,36,32,
aden,,Aden,False,Swedish,Group C. (European Languages),1,1,,Swedish,name,,,36,32,
