classification_path,name,is_group,table_column,printed_page,scan_leaf,unit_code,unit,persons,males,females
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,INDIA,India,349887527,180214643,169672884
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,PROV,Provinces,270847508,139521746,131325762
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,STATES,States and Agencies,79040019,40692897,38347122
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,1,Ajmer-Merwara,557076,293970,263106
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,2,Andaman and Nicobar Islands,28833,19158,9675
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,3,Assam,8617689,4533967,4083722
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,4,Baluchistan (Districts and Administered Territories),453046,262532,190514
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,5,Bengal,50054389,26006318,24048071
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,6,Bihar and Orissa,37663896,18786523,18877373
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,7,Bombay (including Aden),21719578,11420307,10299271
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,7a,Aden,8602,5454,3148
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,8,Burma,14438457,7344350,7094107
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,9,Central Provinces and Berar,15494952,7753857,7741095
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,10,Coorg,162998,90393,72605
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,11,Delhi,630883,366055,264828
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,12,Madras,46691908,23058028,23633880
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,13,North-West Frontier Province (Districts and Administered Territories),2411053,1305726,1105327
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,14,Punjab,23550110,12859650,10690460
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,15,United Provinces of Agra and Oudh,48372640,25420912,22951728
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,16,Assam States,625258,306713,318545
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,17,Baluchistan States,404989,218339,186650
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,18,Baroda State,2442610,1257543,1185067
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,19,Bengal States,973226,516082,457144
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,20,Bihar and Orissa States,4651757,2288261,2363496
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,21,Bombay States,4467547,2288105,2179442
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,22,Central India Agency,6628790,3402777,3226013
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,23,Central Provinces States,2482798,1235162,1247636
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,24,Gwalior State,3522381,1866526,1655855
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,25,Hyderabad State,14418592,7357573,7061019
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,26,Jammu and Kashmir State,3645508,1937905,1707603
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,27,Madras States Agency,6748157,3369574,3378583
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,27a,Cochin State,1203731,589200,614531
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,27b,Travancore State,5091006,2562273,2528733
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,27c,Other Madras States,453420,218101,235319
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,28,Mysore State,6541837,3345943,3195894
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,29,North-West Frontier Province (Agencies and Tribal Areas),42287,40624,1663
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,30,Punjab States,437696,229260,208436
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,31,Punjab States Agency,4471571,2450956,2020615
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,32,Rajputana Agency,11223676,5883892,5339784
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,33,Sikkim State,109769,55804,53965
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,34,United Provinces States,1206007,618130,587877
A. Vernaculars of India,A. Vernaculars of India,1,5,472,477,35,Western India States Agency,3995563,2023728,1971835
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,INDIA,India,5342708,2675837,2666871
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,PROV,Provinces,4420341,2222025,2198316
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,STATES,States and Agencies,922367,453812,468555
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,1,Ajmer-Merwara,7,3,4
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,2,Andaman and Nicobar Islands,9958,5178,4780
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,3,Assam,401622,208503,193119
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,5,Bengal,893484,452325,441159
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,6,Bihar and Orissa,2240860,1117138,1123722
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,8,Burma,487686,245674,242012
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,9,Central Provinces and Berar,155557,77870,77687
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,12,Madras,231143,115323,115820
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,13,North-West Frontier Province (Districts and Administered Territories),2,2,
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,14,Punjab,1,,1
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,15,United Provinces of Agra and Oudh,21,9,12
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,16,Assam States,153629,74446,79183
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,19,Bengal States,2832,1618,1214
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,20,Bihar and Orissa States,733657,361586,372071
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,22,Central India Agency,4157,2067,2090
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,23,Central Provinces States,28091,14094,13997
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,27,Madras States Agency,1,1,
A. Vernaculars of India > Austric Family,Austric Family,1,8,472,477,27c,Other Madras States,1,1,
A. Vernaculars of India > Austric Family > Austronesian Sub-Family,Austronesian Sub-Family,1,,,,INDIA,India,6542,3307,3235
A. Vernaculars of India > Austric Family > Austronesian Sub-Family,Austronesian Sub-Family,1,,,,PROV,Provinces,6541,3306,3235
