volume,area,printed_population,sum_of_language_leaves,difference
aden,Aden,51478,51478,0
ajmer,Ajmer-Merwara,560292,560292,0
assam,ASSAM,9247857,9247941,84
assam,(1) British Territory,8622251,8622252,1
assam,Surma Valley and Hill Division,3708047,3708047,0
assam,Cachar,570531,570531,0
assam,Sylhet,2724342,2724342,0
assam,Khasi and Jaintia Hills (British),109926,109926,0
assam,Naga Hills,178844,178844,0
assam,Lushai Hills,124404,124404,0
assam,Assam Valley Division,4855711,4852342,-3369
assam,Goalpara,882748,882748,0
assam,Kamrup,976746,976743,-3
assam,Darrang,584817,584817,0
assam,Nowgong,562581,562581,0
assam,Sibsagar,933326,933326,0
assam,Lakhimpur,724582,724582,0
assam,Garo Hills,190911,190911,0
assam,Sadiya Frontier Tract,53345,53345,0
assam,Balipara Frontier Tract,5148,5148,0
assam,(2) Manipur State,445606,445606,0
assam,(3) Khasi States,180000,180000,0
baluchistan,Baluchistan,868617,868617,0
baroda,Baroda State,2443007,2442998,-9
baroda,Baroda City,112860,112860,0
baroda,Amreli Division,173948,173948,0
baroda,Baroda Division,711481,711476,-5
baroda,Mehsana Division,1010007,1010005,-2
baroda,Navsari Division,404377,404376,-1
baroda,Okhamandal,30334,30333,-1
bengal,All Districts and States,51087338,51087338,0
bengal,Burdwan District,1575699,1575699,0
bengal,Birbhum District,947554,947554,0
bengal,Bankura District,1111721,1111721,0
bengal,Midnapore District,2799093,2799093,0
bengal,Hooghly District,1114255,1114255,0
bengal,Howrah District,1098867,1098867,0
bengal,24-Parganas District,2713874,2713874,0
bengal,Calcutta,1196734,1196734,0
bengal,Nadia District,1529632,1529632,0
bengal,Murshidabad District,1370677,1370677,0
bengal,Jessore District,1671164,1671164,0
bengal,Khulna District,1626148,1626148,0
bengal,Rajshahi District,1429018,1429018,0
bengal,Dinajpur District,1755432,1755432,0
bengal,Jalpaiguri District,983357,983357,0
bengal,Darjeeling District,319635,319635,0
bengal,Rangpur District,2594785,2594785,0
bengal,Bogra District,1086419,1086419,0
bengal,Pabna District,1445654,1445654,0
bengal,Malda District,1053766,1053766,0
bengal,Dacca District,3432577,3432577,0
bengal,Mymensingh District,5130262,5130262,0
bengal,Faridpur District,2362215,2362215,0
bengal,Bakarganj District,2939050,2939050,0
bengal,Tippera District,3109735,3109735,0
bengal,Noakhali District,1706719,1706719,0
bengal,Chittagong District,1797038,1797038,0
bengal,Chittagong Hill Tracts District,212922,212922,0
bengal,Cooch Behar State,590886,590886,0
bengal,Tripura State,382450,382450,0
bengal,Sikkim,109808,109808,0
bihar_orissa,Bihar and Orissa,42329583,42329583,0
bihar_orissa,British Territory,37677576,37677576,0
bihar_orissa,Patna Division,6228425,6228425,0
bihar_orissa,Patna,1846474,1846474,0
bihar_orissa,Gaya,2388462,2388462,0
bihar_orissa,Shahabad,1993489,1993489,0
bihar_orissa,Tirhut Division,10739274,10739274,0
bihar_orissa,Saran,2486468,2486468,0
bihar_orissa,Champaran,2145687,2145687,0
bihar_orissa,Muzaffarpur,2941025,2941025,0
bihar_orissa,Darbhanga,3166094,3166094,0
bihar_orissa,Bhagalpur Division,8759801,8759801,0
bihar_orissa,Monghyr,2287154,2287154,0
bihar_orissa,Bhagalpur,2234632,2234632,0
bihar_orissa,Purnea,2186543,2186543,0
bihar_orissa,Santal Parganas,2051472,2051472,0
bihar_orissa,Orissa Division,5306142,5306142,0
bihar_orissa,Cuttack,2176707,2176707,0
bihar_orissa,Balasore,990600,990600,0
bihar_orissa,Angul,222736,222736,0
bihar_orissa,Puri,1035154,1035154,0
bihar_orissa,Sambalpur,880945,880945,0
bihar_orissa,Chota Nagpur Division,6643934,6643934,0
bihar_orissa,Hazaribagh,1517357,1517357,0
bihar_orissa,Ranchi,1567149,1567149,0
bihar_orissa,Palamau,818736,818736,0
bihar_orissa,Manbhum,1810890,1810890,0
bihar_orissa,Singhbhum,929802,929802,0
bihar_orissa,Feudatory States,4652007,4652007,0
bihar_orissa,Orissa States,4465385,4465385,0
bihar_orissa,Chota Nagpur States,186622,186622,0
bombay,Bombay Presidency including Bombay States and Agencies,26271784,26271784,0
bombay,British Districts,21803388,21803388,0
bombay,Bombay City,1161383,1161383,0
bombay,Northern Division,3984617,3984617,0
bombay,Ahmedabad,924033,924033,0
bombay,Broach,334170,334170,0
bombay,Kaira,741650,741650,0
bombay,Panch-Mahals,454526,454526,0
bombay,Surat,693613,693613,0
bombay,Thana,836625,836625,0
bombay,Central Division,7372637,7372637,0
bombay,Ahmednagar,988206,988206,0
bombay,Khandesh-East,1206035,1206035,0
bombay,Khandesh-West,771794,771794,0
bombay,Nasik,1000048,1000048,0
bombay,Poona,1169798,1169798,0
bombay,Satara,1179712,1179712,0
bombay,Sholapur,877520,877520,0
bombay,Bombay Suburban District,179524,179524,0
bombay,Southern Division,5397681,5397681,0
bombay,Belgaum,1076701,1076701,0
bombay,Bijapur,869220,869220,0
bombay,Dharwar,1102677,1102677,0
bombay,Kanara,417835,417835,0
bombay,Kolaba,628721,628721,0
bombay,Ratnagiri,1302527,1302527,0
bombay,Sind,3887070,3887070,0
bombay,Hyderabad,662924,662924,0
bombay,Karachi,650240,650240,0
bombay,Larkana,693735,693735,0
bombay,Nawabshah,496612,496612,0
bombay,Sukkur,623779,623779,0
bombay,Thar and Parkar,468040,468040,0
bombay,Upper Sind Frontier,291740,291740,0
bombay,Bombay States and Agencies,4468396,4468396,0
bombay,Cambay,87761,87761,0
bombay,Mahikantha Agency,518164,518164,0
bombay,(i) Idar,262660,262660,0
bombay,(ii) Rest of the Agency,255504,255470,-34
bombay,Rewakantha Agency,888086,888086,0
bombay,(i) Rajpipla,206114,206114,0
bombay,(ii) Chota-Udepur,144640,144640,0
bombay,(iii) Devgad-Baria,159429,159429,0
bombay,(iv) Lunawada,95162,95162,0
bombay,(v) Balasinor,52525,52525,0
bombay,(vi) Santh,83531,83531,0
bombay,(vii) Sankhed-Mewas,59139,59139,0
bombay,(viii) Rest of the Agency,87546,87546,0
bombay,Jawhar,57261,57261,0
bombay,Janjira,98296,98296,0
bombay,Bhor,141546,141546,0
bombay,Aundh,76507,76507,0
bombay,Phaltan,58761,58761,0
bombay,Akalkot,92605,92605,0
bombay,Sawantwadi,230589,230589,0
bombay,Kolhapur,957137,957137,0
bombay,Kurundwad (Senior),44204,44204,0
bombay,Kurundwad (Junior),39583,39583,0
bombay,Miraj (Senior),93938,93938,0
bombay,Miraj (Junior),40684,40684,0
bombay,Jamkhandi,114270,114270,0
bombay,Mudhol,62832,62832,0
bombay,Ramdurg,35454,35454,0
bombay,Sangli,258442,258442,0
bombay,Wadi-Jhagir,1704,1704,0
bombay,Jath,91099,91099,0
bombay,Bansda,48839,48839,0
bombay,Dharampur,112031,112031,0
bombay,Sachin,22107,22107,0
bombay,Dangs,33748,33748,0
bombay,Khairpur,227183,227183,0
bombay,Surgana,15245,15245,0
bombay,Savanur,20320,20320,0
burma,Provincial Total,14647497,14647497,0
burma,Divisional Burma,13102048,13102048,0
burma,Arakan Division,1008535,1008535,0
burma,Akyab,637580,637580,0
burma,Arakan Hill Tracts,21418,21418,0
burma,Kyaukpyu,220292,220292,0
burma,Sandoway,129245,129245,0
burma,Pegu Division,2549637,2549637,0
burma,Rangoon Town,400415,400415,0
burma,Pegu,489969,489969,0
burma,Tharrawaddy,508319,508319,0
burma,Hanthawaddy,408831,408831,0
burma,Insein,331452,331452,0
burma,Prome,410651,410651,0
burma,Bassein,571043,571043,0
burma,Henzada,613280,613280,0
burma,Myaungmya,444784,444784,0
burma,Maubin,371509,371509,0
burma,Pyapôn,334158,334158,0
burma,Tenasserim Division,1872668,1872668,0
burma,Salween,53186,53186,0
burma,Thatôn,532628,532628,0
burma,Amherst,516233,516233,0
burma,Tavoy,179964,179964,0
burma,Mergui,161987,161987,0
burma,Toungoo,428670,428670,0
burma,Magwe Division,1722044,1722044,0
burma,Thayetmyo,274177,274177,0
burma,Minbu,277876,277876,0
burma,Magwe,499573,499573,0
burma,Pakôkku,499181,499181,0
burma,Chin Hills,171237,171237,0
