volume,area_path,area,lineage_1931_units,hand_mapped_present_day_units,rule
aden,,Aden,,,no geometry
ajmer,,Ajmer-Merwara,Ajmer Merwara,,hand crosswalk (MANUAL)
andaman,Andaman and Nicobar Islands,Andamans,@Andaman and Nicobar Islands,,hand crosswalk (MANUAL)
andaman,Andaman and Nicobar Islands,Nicobars,@Andaman and Nicobar Islands,,hand crosswalk (MANUAL)
assam,Assam > British Territory > Surma Valley and Hill Division,Cachar,Cachar,,name match in province
assam,Assam > British Territory > Surma Valley and Hill Division,Sylhet,Sylhet,,name match in province
assam,Assam > British Territory > Surma Valley and Hill Division,Khasi and Jaintia Hills (British),Khasi and Jaintia Hills,,hand crosswalk (MANUAL)
assam,Assam > British Territory > Surma Valley and Hill Division,Naga Hills,Naga Hills,,name match in province
assam,Assam > British Territory > Surma Valley and Hill Division,Lushai Hills,Lushai Hills,,name match in province
assam,Assam > British Territory > Assam Valley Division,Goalpara,Goalpara,,name match in province
assam,Assam > British Territory > Assam Valley Division,Kamrup,Kamrup,,name match in province
assam,Assam > British Territory > Assam Valley Division,Darrang,Darrang,,name match in province
assam,Assam > British Territory > Assam Valley Division,Nowgong,Nowgong,,name match in province
assam,Assam > British Territory > Assam Valley Division,Sibsagar,Sibsagar,,name match in province
assam,Assam > British Territory > Assam Valley Division,Lakhimpur,Lakhimpur,,name match in province
assam,Assam > British Territory > Assam Valley Division,Garo Hills,Garo Hills,,name match in province
assam,Assam > British Territory,Sadiya Frontier Tract,Sadiya Frontier Tract (N.E.F.A.),,hand crosswalk (MANUAL)
assam,Assam > British Territory,Balipara Frontier Tract,Balipara Frontier Tract (N.E.F.A.),,hand crosswalk (MANUAL)
assam,Assam,(2) Manipur State,Manipur,,hand crosswalk (MANUAL)
assam,Assam,(3) Khasi States,Khasi States,,hand crosswalk (MANUAL)
baluchistan,Baluchistan > Districts,Quetta-Pishin,,PAK:Quetta; PAK:Pishin; PAK:Qilla Abdullah,hand mapping outside the lineage (OUTSIDE)
baluchistan,Baluchistan > Districts,Loralai,,PAK:Loralai; PAK:Musakhel; PAK:Barkhan,hand mapping outside the lineage (OUTSIDE)
baluchistan,Baluchistan > Districts,Zhob,,PAK:Zhob; PAK:Qilla Saifullah,hand mapping outside the lineage (OUTSIDE)
baluchistan,Baluchistan > Districts,Bolan,,PAK:Kachhi,hand mapping outside the lineage (OUTSIDE)
baluchistan,Baluchistan > Districts,Chagai,,PAK:Chagai; PAK:Nushki,hand mapping outside the lineage (OUTSIDE)
baluchistan,Baluchistan > Districts > Sibi,Administered area,,PAK:Sibi; PAK:Ziarat,hand mapping outside the lineage (OUTSIDE)
baluchistan,Baluchistan > Districts > Sibi,Mari Bugti Country,,PAK:Kohlu; PAK:Dera Bugti,hand mapping outside the lineage (OUTSIDE)
baluchistan,Baluchistan > States > Kalat,Sarawan,,PAK:Kalat; PAK:Mastung,hand mapping outside the lineage (OUTSIDE)
baluchistan,Baluchistan > States > Kalat,Jhalawan,,PAK:Khuzdar; PAK:Awaran,hand mapping outside the lineage (OUTSIDE)
baluchistan,Baluchistan > States > Kalat,Kachhi,,PAK:Kachhi; PAK:Nasirabad; PAK:Jafarabad; PAK:Jhal Magsi,hand mapping outside the lineage (OUTSIDE)
baluchistan,Baluchistan > States > Kalat,Dombki-Kaheri Country,,PAK:Nasirabad,hand mapping outside the lineage (OUTSIDE)
baluchistan,Baluchistan > States > Kalat,Makran,,PAK:Kech; PAK:Panjgur,hand mapping outside the lineage (OUTSIDE)
baluchistan,Baluchistan > States > Kalat,Kharan,,PAK:Kharan,hand mapping outside the lineage (OUTSIDE)
baluchistan,Baluchistan > States,Las-Bela,,PAK:Lasbela,hand mapping outside the lineage (OUTSIDE)
