table,printed_name_normalised,maps_to
ALIAS,a and a arakanese and yanbye,burmese
ALIAS,a burmese,burmese
ALIAS,a hindi,"HU (Hindustani, Hindi or Urdu as printed)"
ALIAS,africaans,dutch
ALIAS,ahirani or khandeshi,khandesi
ALIAS,arakanese,burmese
ALIAS,asiatic languages foreign to india,vernaculars of other asiatic countries and africa
ALIAS,asiatic non indian and african languages,vernaculars of other asiatic countries and africa
ALIAS,awadhi,eastern hindi
ALIAS,awadhi including purbi,eastern hindi
ALIAS,b hindustani,"HU (Hindustani, Hindi or Urdu as printed)"
ALIAS,baghelkhandi,eastern hindi
ALIAS,banajari,rajasthani
ALIAS,banjari,rajasthani
ALIAS,bara bodo kachari mech,bara bodo or plains kachari
ALIAS,belgian,flemish
ALIAS,bhatri,oriya
ALIAS,bhil dialects,bhili
ALIAS,bhotia of tibet tibetan,bhotia of tibet or tibetan
ALIAS,bhumij,kherwari santali mundari ho etc
ALIAS,bihari,bihari
ALIAS,bodo,bara bodo or plains kachari
ALIAS,braj bhasha,western hindi
ALIAS,bundelkhandi,western hindi
ALIAS,burmese,burmese
ALIAS,buroshaski,burushaski
ALIAS,c kath,kathe ponna including meithei manipuri
ALIAS,c p dialects,marathi
ALIAS,central eastern rajasthani,rajasthani
ALIAS,chaungtha,burmese
ALIAS,chhatrisgarhi,eastern hindi
ALIAS,chhattisgarhi,eastern hindi
ALIAS,chinese,chinese group
ALIAS,chinese languages other than yunnanese,chinese group
ALIAS,coorgi,kodagu or coorgi
ALIAS,dehwari local persian,persian
ALIAS,eastern hindi,eastern hindi
ALIAS,eastern hindi awadhi,eastern hindi
ALIAS,eastern pahari,eastern pahari khas kura or naipali
ALIAS,eastern pahari khaskura or naipali,eastern pahari khas kura or naipali
ALIAS,erakala,tamil
ALIAS,erakala kaikadi,tamil
ALIAS,flemish with belgian,flemish
ALIAS,gaelic,gaelic scotch
ALIAS,gipsy,gipsy languages
ALIAS,gipsy language ladar,gipsy languages
ALIAS,goanese,konkani
ALIAS,greek,greek romaic
ALIAS,greek romaic,greek romaic
ALIAS,gujarathi,gujarati
ALIAS,gujarati standard,gujarati
ALIAS,gujrati,gujarati
ALIAS,gujuri,rajasthani
ALIAS,gurumukhi,panjabi
ALIAS,halbi,marathi
ALIAS,hebrew with jewish,hebrew
ALIAS,hindi,"HU (Hindustani, Hindi or Urdu as printed)"
ALIAS,hindustani,"HU (Hindustani, Hindi or Urdu as printed)"
ALIAS,hindustani hindi and urdu,"HU (Hindustani, Hindi or Urdu as printed)"
ALIAS,ho,kherwari santali mundari ho etc
ALIAS,i shan,shan unspecified
ALIAS,indo european family persian,persian
ALIAS,jaipuri,rajasthani
ALIAS,jatki,lahnda or western punjabi
ALIAS,jattki or jagdali,lahnda or western punjabi
ALIAS,jattki sindhi,sindhi
ALIAS,jewish,hebrew
ALIAS,kachari,bara bodo or plains kachari
ALIAS,kachchhi,sindhi
ALIAS,kachchi sindhi,sindhi
ALIAS,kachin,kachin
ALIAS,kaikadi,tamil
ALIAS,kandhi kui,kandhi or kui
ALIAS,kankani,konkani
ALIAS,kannada,kanarese
ALIAS,karen unspecified,karen unspecified
ALIAS,karmali,kherwari santali mundari ho etc
ALIAS,kashmeri,kashmiri
ALIAS,kashmiri and chitrali,kashmiri
ALIAS,kathe,kathe ponna including meithei manipuri
ALIAS,khandeshi,khandesi
ALIAS,khasi,khasi
ALIAS,kherwari,kherwari santali mundari ho etc
ALIAS,kherwari unspecified,kherwari santali mundari ho etc
ALIAS,koda kora,kherwari santali mundari ho etc
ALIAS,kodagu,kodagu or coorgi
ALIAS,kora koda,kherwari santali mundari ho etc
ALIAS,korava,tamil
ALIAS,korava or yerukala,tamil
ALIAS,korwa,kherwari santali mundari ho etc
ALIAS,koshti,marathi
ALIAS,kuki,other or unspecified kuki sub group
ALIAS,kuki unspecified,other or unspecified kuki sub group
ALIAS,kurku,korku
ALIAS,kurukh or oraon dhangari,kurukh or oraon
ALIAS,kurukh oraon,kurukh or oraon
ALIAS,labhani or banjari naiki,rajasthani
ALIAS,lahnda,lahnda or western punjabi
ALIAS,lahnda chabhali,lahnda or western punjabi
ALIAS,lahuli,tibeto himalayan branch
ALIAS,lambadi,rajasthani
ALIAS,lambadi banjari,rajasthani
ALIAS,lasi,sindhi
ALIAS,lepcha,rong or lepcha
ALIAS,limbu,kiranti
ALIAS,madrassi,tamil
ALIAS,mahili,kherwari santali mundari ho etc
ALIAS,malvi,rajasthani
ALIAS,manipuri,kathe ponna including meithei manipuri
ALIAS,marathi standard,marathi
ALIAS,marwari,rajasthani
ALIAS,mech,bara bodo or plains kachari
ALIAS,meithei manipuri,kathe ponna including meithei manipuri
ALIAS,memani,sindhi
ALIAS,merguese,burmese
ALIAS,mewari,rajasthani
ALIAS,mewati,rajasthani
ALIAS,miri,abor
ALIAS,mundari,kherwari santali mundari ho etc
ALIAS,n karen unspecified,karen unspecified
ALIAS,n pwo,pwo
ALIAS,n sgaw,sgaw
ALIAS,naipali,eastern pahari khas kura or naipali
ALIAS,naipali and garhwali,eastern pahari khas kura or naipali
ALIAS,naipali gorkhali,eastern pahari khas kura or naipali
ALIAS,naipali khas kura,eastern pahari khas kura or naipali
ALIAS,nepali,eastern pahari khas kura or naipali
ALIAS,nimadi,rajasthani
ALIAS,nimari gurvi,rajasthani
ALIAS,north eastern rajasthani,rajasthani
ALIAS,oraon,kurukh or oraon
ALIAS,oraon kurukh,kurukh or oraon
ALIAS,other asiatic languages,vernaculars of other asiatic countries and africa
ALIAS,other dravidian languages,dravidian family
ALIAS,other european languages,european languages
ALIAS,other indian languages,vernaculars of india
ALIAS,other indo aryan languages,indo aryan branch
ALIAS,other munda languages,munda branch
ALIAS,pahari unspecified,pahari unspecified
ALIAS,panchali bhili,bhili
ALIAS,panjabi,panjabi
ALIAS,polish,slavonic russian polish and others
ALIAS,portuguese,portuguese
ALIAS,punjabi,panjabi
ALIAS,purbi,eastern hindi
ALIAS,rajasthani marwari,rajasthani
ALIAS,rajasthani others,rajasthani
ALIAS,rajsthani,rajasthani
ALIAS,rathi dialect of panjabi,panjabi
ALIAS,rong,rong or lepcha
ALIAS,rong lepcha,rong or lepcha
ALIAS,russian,slavonic russian polish and others
ALIAS,santali,kherwari santali mundari ho etc
ALIAS,saurashtri,gujarati
ALIAS,savara,sawara
ALIAS,scotch,gaelic scotch
ALIAS,semitic family arabic,arabic
ALIAS,shan,shan unspecified
ALIAS,singhalese,sinhalese
ALIAS,siraiki,lahnda or western punjabi
ALIAS,siraiki or jatki,lahnda or western punjabi
ALIAS,slavonic russian,slavonic russian polish and others
ALIAS,sondhi sondwari,rajasthani
ALIAS,sourashtra,gujarati
ALIAS,swiss,german
ALIAS,talaing,talaing
ALIAS,tavoyan,burmese
ALIAS,telegu,telugu
ALIAS,thareli or dhatki,sindhi
ALIAS,tibetan,bhotia of tibet or tibetan
ALIAS,turi,kherwari santali mundari ho etc
ALIAS,unclassed gipsy,gipsy languages
ALIAS,unspecified chin or poi,other or unspecified chin sub group
ALIAS,urdu,"HU (Hindustani, Hindi or Urdu as printed)"
ALIAS,urdu western hindi,"HU (Hindustani, Hindi or Urdu as printed)"
ALIAS,vernaculars of asiatic and african countries,vernaculars of other asiatic countries and africa
ALIAS,vernaculars of asiatic countries beyond india all families,vernaculars of other asiatic countries and africa
ALIAS,western hindi,western hindi
ALIAS,western panjabi,lahnda or western punjabi
ALIAS,yanbye,burmese
ALIAS,yaw,burmese
ALIAS,yerukala,tamil
ALIAS,zahao,other or unspecified chin sub group
GROUP_ALIAS,burma group,burma group
GROUP_ALIAS,chinese group,chinese group
GROUP_ALIAS,european languages,C. European languages
GROUP_ALIAS,indian languages,(not matched)
GROUP_ALIAS,karen group,karen group
GROUP_ALIAS,kuki chin group,kuki chin group
GROUP_ALIAS,mro group,mro group
GROUP_ALIAS,naga group,naga group
GROUP_ALIAS,other languages,(not matched)
GROUP_ALIAS,palaung wa group,palaung wa group
GROUP_ALIAS,sak lui group,sak lui group
GROUP_ALIAS,tai shan group,tai group
GROUP_ALIAS,x indian languages,(not matched)
GROUP_ALIAS,y european languages,C. European languages
GROUP_ALIAS,z other languages,(not matched)
SUFFIX_ALIAS,... (kuki),other or unspecified kuki sub group
SUFFIX_ALIAS,... (naga),other or unspecified naga languages
