language_as_printed,lang_path,vol1_entry,matched_by,kind,persons,volumes
Hindustani,Part A.—Vernaculars of India > (1) Vernaculars of the Province,HU,name,,49456327,up
Bengali,"A.—Languages of Bengal, Nepal and Sikkim",Bengali,name,,29461318,bengal
Hindustani (Hindi and Urdu),Indo-Aryan Languages,HU,name,,27921455,bihar_orissa
Tamil,A. Vernaculars of India > A-(i) Languages of the Presidency,Tamil,name,,18896718,madras
Telugu,A. Vernaculars of India > A-(i) Languages of the Presidency,Telugu,name,,17782898,madras
Bengali,"A.—Languages of Bengal, Nepal and Sikkim",Bengali,name,residual,17576212,bengal
Punjabi,Indian Vernaculars > Vernaculars of the Punjab,Panjabi,name,,14515090,punjab
Marathi,Group A. Indian Languages,Marathi,name,,11114924,bombay
A.-Burma Group,,Burma Group,name,,9862694,burma
Oriya,Indo-Aryan Languages,Oriya,name,,8535805,bihar_orissa
Lahnda or Western Punjabi,Indian Vernaculars > Vernaculars of the Punjab,Lahnda or Western Punjabi,name,,7378252,punjab
Telugu,A Vernaculars of India > Vernaculars of the State > Dravidian Family > Andhra group,Telugu,name,,6972534,hyderabad
Marwari,A. Vernaculars of India > (I). Vernaculars of Rajputana,Rajasthani,name,,5618885,rajputana
Hindustani,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family > Western Hindi > Dialect included in Western Hindi,HU,name,,5601063,cp_berar
Marathi,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family,Marathi,name,residual,5281059,cp_berar
Gujarati,Group A. Indian Languages,Gujarati,name,,4876737,bombay
Kannada,A. Vernaculars of India > Dravidian Family > Dravida Group,Kanarese,name,,4578801,mysore
Malayalam,A.—Vernaculars of India > (a) Vernaculars of the State > Dravidian Family > Dravida Group,Malayalam,name,,4260860,travancore
Hindustani,Indian Vernaculars > Vernaculars of the Punjab,HU,name,,3988023,punjab
Bengali,A.-Vernaculars of India (Vernaculars of Assam),Bengali,name,,3966363,assam
Marathi,A Vernaculars of India > Vernaculars of the State > Indo-European Family > Indo-Aryan Branch,Marathi,name,,3786838,hyderabad
Malayalam,A. Vernaculars of India > A-(i) Languages of the Presidency,Malayalam,name,,3727254,madras
Gujarati,Group A—Indian Languages,Gujarati,name,,3483786,wisa
Kanarese,Group A. Indian Languages,Kanarese,name,,3197383,bombay
Chhattisgarhi,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family > Eastern Hindi > Dialect included in Eastern Hindi,Eastern Hindi,name,,3011124,cp_berar
Sindhi,Group A. Indian Languages,Sindhi,name,,2913338,bombay
Central Eastern Rajasthani,A. Vernaculars of India > (I). Vernaculars of Rajputana,Rajasthani,name,,2157974,rajputana
Gujarati (Standard),A—Languages of India > I—Indo-Aryan Branch > Central Group > Gujarati,Gujarati,name,,2119551,baroda
Assamese,A.-Vernaculars of India (Vernaculars of Assam),Assamese,name,,1994564,assam
Bengali,Indo-Aryan Languages,Bengali,name,,1937587,bihar_orissa
Oriya,A. Vernaculars of India > A-(i) Languages of the Presidency,Oriya,name,,1847449,madras
Western Hindi,A. Vernaculars of India > (I). Vernaculars of Rajputana,Western Hindi,name,,1721186,rajputana
Western Pahari,Indian Vernaculars > Vernaculars of the Punjab,Western Pahari,name,,1690676,punjab
Kanarese,A. Vernaculars of India > A-(i) Languages of the Presidency,Kanarese,name,,1685543,madras
Hindi,"A.—Languages of Bengal, Nepal and Sikkim > Hindustani",HU,name,,1634565,bengal
Santali,Munda Languages,"Kherwari (Santali, Mundari, Ho, etc.)",name,,1628957,bihar_orissa
Kanarese,A Vernaculars of India > Vernaculars of the State > Dravidian Family > Dravida group,Kanarese,name,,1620094,hyderabad
Other Languages,A. Vernaculars of India > A-(i) Languages of the Presidency,A. Vernaculars of India,group,,1612208,madras
Western Hindi,Group A. Indian Languages,Western Hindi,name,,1561406,bombay
Urdu (Western Hindi),A Vernaculars of India > Vernaculars of the State > Indo-European Family > Indo-Aryan Branch,HU,name,,1507272,hyderabad
Baghelkhandi,A. Vernaculars of India > (i) Vernaculars of Central India > Eastern Hindi,Eastern Hindi,name,,1429147,cia
Kashmiri,Languages of the State > Indo-European Family > Aryan Sub-Family > Dardic Branch > Dard Group > Kashmiri,Kashmiri,name,,1370673,jk
N.-Karen Group,,Karen Group,name,,1341066,burma
Bundelkhandi,A. Vernaculars of India > (i) Vernaculars of Central India > Western Hindi,Western Hindi,name,,1314109,cia
Pashto,A—Indian Vernaculars > A (1)—Vernaculars of the N.-W. F. P.,Pashto,name,,1290484,nwfp
Hindustani,A. Vernaculars of India > A-(i) Languages of the Presidency,HU,name,,1230313,madras
Malvi,A. Vernaculars of India > (i) Vernaculars of Central India > Rajasthani,Rajasthani,name,,1095197,cia
Malayalam,A. Vernaculars of India > Vernacular of the State,Malayalam,name,,1088081,cochin
X.-Indian Languages,,,not matched,,1079820,burma
Lahnda,A—Indian Vernaculars > A (1)—Vernaculars of the N.-W. F. P.,Lahnda or Western Punjabi,name,,1036657,nwfp
Telugu,A. Vernaculars of India > Dravidian Family > Andhra Language,Telugu,name,,1030926,mysore
I.-Tai (Shan) Group,,Tai Group,name,,1021917,burma
Total Gondi,A-Vernaculars of India > Dravidian family,Gondi,name,,882419,cp_berar
Tamil,A.—Vernaculars of India > (a) Vernaculars of the State > Dravidian Family > Dravida Group,Tamil,name,,788455,travancore
Santali,C.—Languages of Bihar and Orissa > Kherwari,"Kherwari (Santali, Mundari, Ho, etc.)",name,,764729,bengal
Eastern Hindi,A-Vernaculars of India > Indo-European Family > Aryan Sub-Family,Eastern Hindi,name,residual,759872,cp_berar
Urdu,A. Vernaculars of India > (i) Vernaculars of Central India > Western Hindi,HU,name,,737167,cia
Bhili,A. Vernaculars of India > (I). Vernaculars of Rajputana,Bhili,name,,719640,rajputana
Oraon (Kurukh),Dravidian Languages,Kurukh or Oraon,name,,656188,bihar_orissa
Rajasthani,Indian Vernaculars > Vernaculars of the Punjab,Rajasthani,name,,613444,punjab
Pahari,Languages of the State > Indo-European Family > Aryan Sub-Family > Inner Sub-Branch > Pahari Group > Western Pahari,Pahari (Unspecified),name,,595754,jk
Hindi,A. Vernaculars of India (outside Assam),HU,name,,589838,assam
Bhili,Group A. Indian Languages,Bhili,name,,579328,bombay
Dogri,Languages of the State > Indo-European Family > Aryan Sub-Family > Inner Sub-Branch > Central Group > Punjabi,Panjabi,group,,549917,jk
Hindi,A. Languages of India > (1) Languages Proper to State > Indo-European Family > Western Hindi,HU,name,,535978,gwalior
Ho,Munda Languages,"Kherwari (Santali, Mundari, Ho, etc.)",name,,526443,bihar_orissa
Mundari,Munda Languages,"Kherwari (Santali, Mundari, Ho, etc.)",name,,521891,bihar_orissa
North Eastern Rajasthani,A. Vernaculars of India > (I). Vernaculars of Rajputana,Rajasthani,name,,478941,rajputana
Kachchhi,Group A—Indian Languages,Sindhi,name,,412048,wisa
Hindustani,A. Vernaculars of India > Indo-European Family > Central Group,HU,name,,382876,mysore
Bhili,A. Vernaculars of India > (i) Vernaculars of Central India > Bhili (Bhil Dialects),Bhili,name,,375075,cia
