volume,vol1_rows,vol1_population,sum_of_language_leaves,difference_pct
ajmer,1,560292,560292,0.0
andaman,2,29463,29463,0.0
assam,3 16,9247857,9247854,-0.0
baluchistan,4 17,868617,868617,0.0
bengal,5 19 33,51197146,51197146,0.0
bihar_orissa,6 20,42329583,42329583,0.0
bombay,7 21 -7a,26271784,26271750,-0.0
aden,7a,51478,51478,0.0
burma,8,14647497,14647497,0.0
cp_berar,9 23,17990937,17993578,0.01
madras,12 27c,47193602,47193602,0.0
nwfp,13 29,2471527,2471527,0.0
punjab,14 30 31,28490857,28490863,0.0
up,15 34,49614833,49614833,0.0
baroda,18,2443007,2442998,-0.0
cia,22,6632790,6596560,-0.55
gwalior,24,3523070,1642384,-53.38
hyderabad,25,14436148,14436119,-0.0
jk,26,3646243,3646243,0.0
cochin,27a,1205016,1205016,0.0
travancore,27b,5095973,5095973,0.0
mysore,28,6557302,6557302,0.0
rajputana,32,11225712,11225712,0.0
wisa,35,3999250,3999250,0.0
